aalib 1.4rc5-18
stow 2.4.1-1
strace 6.10-1
sudo 1.9.16-1
suitesparse 7.8.2-1
supermin 5.3.2-1
svt-av1 2.2.1-1
swtpm 0.8.2-1
sxhkd 0.6.2-4
sysfsutils 2.1.1-2
syslinux 6.04.pre2.r11.gbf6db5b4-4
systemd 256.6-1
systemd-libs 256.6-1
systemd-sysvcompat 256.6-1
taglib 2.0.2-1
talloc 2.4.2-3
tar 1.35-2
tdb 1.4.12-1
telegram-desktop 5.5.5-1
terminator 2.1.4-1
testdisk 7.2-1
tevent 1:0.16.1-3
texinfo 7.1.1-1
thin-provisioning-tools 1.1.0-1
thunar 4.18.11-2
thunar-archive-plugin 0.5.2-2
thunar-media-tags-plugin 0.4.0-3
thunar-volman 4.18.0-3
thunderbird 128.2.2-1
tinysparql 3.8.0-1
tmux 3.4-10
tpm2-tss 4.0.1-1
traceroute 2.1.5-1
trash-cli 0.24.5.26-1
tree 2.1.3-1
tree-sitter 0.23.0-1
tree-sitter-c 0.23.0-1
tree-sitter-lua 0.2.0-1
tree-sitter-markdown 0.3.1-1
tree-sitter-query 0.4.0-1
tree-sitter-vim 0.4.0-1
tree-sitter-vimdoc 3.0.0-1
tslib 1.23-1
ttf-arabeyes-fonts 20150617-2
ttf-cascadia-code 2404.23-1
ttf-cascadia-code-nerd 3.2.1-2
ttf-hack 3.003-7
ttf-liberation 2.1.5-2
ttf-nerd-fonts-symbols 3.2.1-1
ttf-nerd-fonts-symbols-common 3.2.1-1
tumbler 4.18.2-2
twolame 0.4.0-4
tzdata 2024b-2
uchardet 0.0.8-3
udisks2 2.10.1-5
ufw 0.36.2-4
unibilium 2.1.1-2
unzip 6.0-21
upower 1.90.6-1
usbmuxd 1.1.1-4
usbredir 0.13.0-1
util-linux 2.40.2-1
util-linux-libs 2.40.2-1
v4l-utils 1.28.1-1
vapoursynth R69-1
vde2 2.3.3-5
vid.stab 1.1.1-2
vim 9.1.0707-1
vim-runtime 9.1.0707-1
virglrenderer 1.0.1-2
virt-install 4.1.0-3
virt-manager 4.1.0-3
virt-viewer 11.0-3
virtiofsd 1.11.1-1
visual-studio-code-bin 1.93.1-1
vmaf 3.0.0-1
volume_key 0.3.12-9
vte-common 0.78.0-1
vte3 0.78.0-1
vulkan-headers 1:1.3.295-1
vulkan-icd-loader 1.3.295-1
wavpack 5.7.0-1
wayland 1.23.1-1
webkit2gtk 2.46.0-2
webkit2gtk-4.1 2.46.0-2
webp-pixbuf-loader 0.2.7-1
webrtc-audio-processing-1 1.3-3
wget 1.24.5-3
which 2.21-6
whois 5.5.23-1
wireplumber 0.5.6-1
wireshark-cli 4.4.0-1
wireshark-qt 4.4.0-1
woff2 1.0.2-5
wolfssl 5.7.2-1
wpa_supplicant 2:2.11-2
wxwidgets-common 3.2.6-1
wxwidgets-gtk3 3.2.6-1
x264 3:0.164.r3108.31e19f9-2
x265 3.6-1
xcb-proto 1.17.0-2
xcb-util 0.4.1-2
xcb-util-cursor 0.1.5-1
xcb-util-image 0.4.1-3
xcb-util-keysyms 0.4.1-5
xcb-util-renderutil 0.3.10-2
xcb-util-wm 0.4.2-2
xcb-util-xrm 1.3-3
xclip 0.13-5
xdg-dbus-proxy 0.1.6-1
xdg-desktop-portal 1.18.4-1
xdg-desktop-portal-gtk 1.15.1-2
xdg-utils 1.2.1-1
xdotool 3.20211022.1-2
xf86-input-libinput 1.4.0-2
xfce4-indicator-plugin 2.4.2-2
xfce4-notifyd 0.9.6-2
xfce4-panel 4.18.6-2
xfce4-pulseaudio-plugin 0.4.8-2
xfce4-session 4.18.4-2
xfce4-settings 4.18.6-2
xfce4-volumed-pulse 0.2.4-4
xfconf 4.18.3-2
xfdesktop 4.18.1-3
xfsprogs 6.10.1-1
xfwm4 4.18.0-3
xkb-qwerty-fr 0.7.3-1
xkeyboard-config 2.42-1
xmlsec 1.3.5-1
xorg-font-util 1.4.1-2
xorg-fonts-encodings 1.1.0-1
xorg-iceauth 1.0.10-1
xorg-server 21.1.13-1
xorg-server-common 21.1.13-1
xorg-setxkbmap 1.3.4-2
xorg-xauth 1.1.3-1
xorg-xbacklight 1.2.3-4
xorg-xev 1.2.6-1
xorg-xinit 1.4.2-2
xorg-xkbcomp 1.4.7-1
xorg-xkill 1.0.6-2
xorg-xmodmap 1.0.11-2
xorg-xprop 1.2.7-1
xorg-xrandr 1.5.2-2
xorg-xrdb 1.2.2-2
xorg-xset 1.2.5-2
xorg-xwayland 24.1.2-1
xorgproto 2024.1-2
xvidcore 1.3.7-3
xxhash 0.8.2-1
xz 5.6.2-1
yajl 2.1.0-6
yara 4.5.1-1
yt-dlp 2024.08.06-1
zeromq 4.3.5-2
zimg 3.0.5-1
zip 3.0-11
zlib 1:1.3.1-2
zoxide 0.9.6-1
zram-generator 1.1.2-1
zsh 5.9-5
zstd 1.5.6-1
zxing-cpp 2.2.1-1
